time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
9.2,0.083,0.568,0.5689140827642365,-19.764193545311173,-19.77569193405563,0.0,0.0,3.2607997883873208,0.0001590402653262164,1.3903607396684131e-08,0.00012111542172707185,3.791093999174812e-05,1384.5581183924658,0.0,38.56575556680621,1345.992365462622,-2.6369625629740767e-06
9.4,0.09,0.559,0.5568574213521182,-19.738355627919475,-19.750423281244366,0.0,0.0,3.286916829272717,0.0001751774887288179,1.5184009817857253e-08,0.00013324417551424967,4.191812920475062e-05,1543.1992290954306,0.0,42.37204009613679,1500.8271916677966,-2.6685027023631847e-06
9.6,0.092,0.551,0.5556395537509086,-19.711132557521893,-19.72368714009056,0.0,0.0,3.314326102769956,0.0001921542208633465,1.571414888374308e-08,0.00014597304212636737,4.616546458809572e-05,1711.2615334432696,0.0,46.607091837861695,1664.6544443349046,-2.7294966002955334e-06
9.8,0.097,0.544,0.5485842017983207,-19.682289826550175,-19.695834179180565,0.0,0.0,3.342713822402259,0.0002097839042338187,1.6658948702622545e-08,0.00015915629912360924,5.061094616150719e-05,1886.5909477370606,0.0,51.26584824144562,1835.325102256663,-2.7610481083684135e-06
10.0,0.102,0.538,0.541984793239529,-19.651711527514692,-19.66632564146269,0.0,0.0,3.3725245397590484,0.00022834637508420988,1.7633049212603313e-08,0.00017300039626410226,5.532834577089549e-05,2072.5353784764425,0.0,56.395018734100496,2016.1403625631854,-2.8208432922838256e-06
10.2,0.106,0.531,0.5377132406771333,-19.619464591518124,-19.635340773994102,0.0,0.0,3.4035948456948484,0.00024774835466652835,1.8502483112260546e-08,0.00018742944634068788,6.0300405842728824e-05,2268.010472970431,0.0,62.008485374318816,2206.0019904687433,-2.8726312848448288e-06
10.4,0.113,0.525,0.5282356256719906,-19.58555566752341,-19.602499667969738,0.0,0.0,3.436208250616487,0.000268176400476758,1.9870307364044104e-08,0.00020257511158629663,6.558141858309803e-05,2475.3561854417426,0.0,68.11851455946008,2407.237673806534,-2.924251475633355e-06
10.6,0.117,0.52,0.5248005405305362,-19.54993045199214,-19.567814154792615,0.0,0.0,3.470354996835427,0.00028963051251489855,2.0789669488138202e-08,0.00021843286053037248,7.117686231503884e-05,2694.558783068923,0.0,74.78358068406588,2619.7752053721783,-2.9873212952225003e-06
10.8,0.126,0.513,0.5129255404275112,-19.512346954953415,-19.530886816945042,0.0,0.0,3.506309627463003,0.0003122972482769342,2.2538104419466475e-08,0.0002351301909938187,7.714451917869707e-05,2928.0546742362094,0.0,82.00526702457155,2846.049410224882,-3.0132441679597832e-06
11.0,0.131,0.511,0.5087285462070632,-19.473188116194308,-19.491539519465732,0.0,0.0,3.5442063064198464,0.00033626988651085647,2.370696928284624e-08,0.0002527294087013768,8.351677084019776e-05,3177.0070686748645,0.0,89.85487637282813,3087.1521953707725,-3.0687360776937567e-06
11.2,0.134,0.507,0.5082272063174049,-19.432962161201402,-19.450932191239474,0.0,0.0,3.583139883948352,0.00036098875472871406,2.4539345541533448e-08,0.00027081016210561476,9.015405327755875e-05,3434.3197744126323,0.0,98.34355474132987,3335.9762227927663,-3.121464033029042e-06
11.4,0.143,0.504,0.4981562354951217,-19.39104885190491,-19.40828079468372,0.0,0.0,3.623678443397267,0.00038682696792247486,2.636949595878798e-08,0.0002896362691136908,9.716432931282632e-05,3704.8032664455136,0.0,107.4781521236119,3597.325117481657,-3.159755124215735e-06
11.6,0.144,0.501,0.5015109983897597,-19.34733006577775,-19.36400764560551,0.0,0.0,3.6655188908087397,0.0004135979685961546,2.6967995315993134e-08,0.0003090669728915788,0.00010450402770926118,3985.93971731285,0.0,117.32793195166097,3868.611788581092,-3.219902737328084e-06
11.8,0.15,0.498,0.4970557393101997,-19.301939615369232,-19.31869396074174,0.0,0.0,3.7082010251698945,0.00044102192050577793,2.8308621351463014e-08,0.0003288885560888992,0.00011210505579552873,4274.145697850328,0.0,127.87130023837801,4146.274400879467,-3.2675170587026514e-06
12.0,0.154,0.495,0.4960462187193076,-19.25513738408463,-19.271776438273065,0.0,0.0,3.752154875700372,0.00046937865989532025,2.938177842037362e-08,0.0003493007242752532,0.00012004855384164828,4572.93464248728,0.0,139.16999261516287,4433.764653188193,-3.31607589032501e-06
12.2,0.162,0.493,0.4893675936012329,-19.206363781584567,-19.222858517685097,0.0,0.0,3.7976457428830135,0.0004988547442607655,3.115012454839287e-08,0.00037042668299487174,0.00012839691114134634,4884.744678553919,0.0,151.23242958683062,4733.512252346655,-3.379566805961076e-06
12.4,0.167,0.49,0.48759612061421476,-19.155564528274223,-19.171744735707875,0.0,0.0,3.8447891380969645,0.000529543452350106,3.259444794053799e-08,0.0003923200757322308,0.00013719078216993562,5210.790684497789,0.0,164.07552266406043,5046.715165236449,-3.4027207220788114e-06
12.6,0.172,0.489,0.4861037009582694,-19.103318246367817,-19.119069841644432,0.0,0.0,3.8931440365119125,0.0005611649479193654,3.391016269723084e-08,0.00041477609055613263,0.00014635494720053642,5547.251123210324,0.0,177.76705651548502,5369.484070147481,-3.4526419767644256e-06
12.8,0.176,0.487,0.4862359053707683,-19.049313542595623,-19.065027478762403,0.0,0.0,3.942537949248236,0.0005936259522205523,3.5165010206794975e-08,0.00043771462363088133,0.00015587616357946497,5892.9208447203455,0.0,192.28850537397378,5700.6323428285705,-3.4821987355826423e-06
13.0,0.18,0.486,0.4865216418546819,-18.994126214383098,-19.009853983541603,0.0,0.0,3.992824431918144,0.0006268331865056742,3.6339576378168226e-08,0.00046106766618278657,0.00016572918074651046,6246.413543746778,0.0,207.70172741926595,6038.711819871984,-3.5444718378130347e-06
13.2,0.185,0.485,0.4856521780802742,-18.937757407420886,-18.953349577784763,0.0,0.0,4.044121981432111,0.0006608799295227234,3.775898325598796e-08,0.00048489024817707327,0.00017595192236239524,6608.951155633449,0.0,224.0046627569172,6384.946496484222,-3.607689905038569e-06
13.4,0.189,0.485,0.48627530020233695,-18.879828857804963,-18.895516444256344,0.0,0.0,4.096405610366923,0.0006957661812717001,3.909928673224808e-08,0.0005091707654543995,0.00018655631653056954,6980.519511631833,0.0,241.19643986214558,6739.323075429642,-3.6599549275706522e-06
13.6,0.195,0.484,0.48454869174075077,-18.82040590505613,-18.83619109876102,0.0,0.0,4.149809484137731,0.0007315852205005957,4.071965815175969e-08,0.0005339715244335627,0.00019757297640888273,7362.187539627784,0.0,259.34432687159887,7102.843216465321,-3.709136763063725e-06
13.8,0.199,0.489,0.48552567804225244,-18.76018287478757,-18.775364951812065,0.0,0.0,4.204298193149515,0.0007683370472094108,4.2152526097405826e-08,0.0005592760808986351,0.00020901881378467975,7753.9866032761365,0.0,278.4269348915071,7475.559672136188,-3.7515583244385198e-06
14.0,0.2,0.496,0.49014469955620094,-18.70032242179482,-18.714081995609774,0.0,0.0,4.259179284495959,0.000805555267658185,4.29029021328451e-08,0.0005847628597199236,0.00022074950503613047,8149.582180849659,0.0,298.50656206597023,7851.075622593357,-3.8096686694188975e-06
14.2,0.201,0.502,0.49461872537687573,-18.64115015702762,-18.65293030835997,0.0,0.0,4.314025873770888,0.0008429600456029431,4.3622532932084044e-08,0.0006102336157792007,0.00023268280729081198,8545.346207563567,0.0,319.5587962083095,8225.787415229894,-3.874636604450643e-06
14.4,0.2,0.507,0.501226605000657,-18.582533091790246,-18.592285693964328,0.0,0.0,4.368555965105015,0.0008803648235477015,4.398131727819058e-08,0.00063555739019477,0.0002447634520356551,8938.946951301798,0.0,341.55465754858716,8597.392297688904,-3.935694621759467e-06
14.6,0.199,0.512,0.507567971417886,-18.524466778000225,-18.532549021644883,0.0,0.0,4.422516791016189,0.0009175830439964758,4.423526197451677e-08,0.0006606167977479193,0.00025692201098658407,9327.962982985224,0.0,364.52915829617683,8963.433828679626,-3.990578989032656e-06
14.8,0.199,0.517,0.5125587152252429,-18.466996189724306,-18.47347993149006,0.0,0.0,4.4760336174780075,0.0009547079856972587,4.471893945893317e-08,0.0006854700119567881,0.0002691932548010136,9713.8068965991,0.0,388.4222431215074,9325.384657497352,-4.019759217044339e-06
15.0,0.2,0.521,0.5162959019124423,-18.409760826411052,-18.4146992537695,0.0,0.0,4.5293922924689225,0.000991926206146033,4.537796802690165e-08,0.000710249780622569,0.00028163104755543926,10098.842096763248,0.0,413.2740136971674,9685.568087148244,-4.082163286511786e-06
15.2,0.2,0.526,0.5209875588001324,-18.353037832523135,-18.356187313593296,0.0,0.0,4.582584722782161,0.0010292377053427993,4.589341608603962e-08,0.0007349523452600369,0.00029423946666667895,10483.162425940553,0.0,439.0576227808629,10044.104807295938,-4.136249117436819e-06
15.4,0.199,0.53,0.5265619731098646,-18.296860798181505,-18.298305362872014,0.0,0.0,4.635339045795478,0.0010664559257915738,4.6191967300835584e-08,0.0007594514528674212,0.0003069582809568545,10864.523534310363,0.0,465.7422116027996,10398.781326879569,-4.17200499214232e-06
15.6,0.199,0.534,0.5309033615325006,-18.240850076894837,-18.241059366347542,0.0,0.0,4.687673983218129,0.0011035808674923558,4.6619821082185756e-08,0.0007837557978065006,0.00031977844986477694,11242.92364282735,0.0,493.36267704327423,10749.56097001704,-4.232964784023352e-06
15.8,0.2,0.538,0.5340918194082773,-18.185156048897987,-18.184040087420584,0.0,0.0,4.739839618929562,0.0011407990879411304,4.7329005674799986e-08,0.0008079815190308898,0.00033277023990457,11620.818658750304,0.0,521.8673968829348,11098.951266130854,-4.263485607225448e-06
16.0,0.2,0.54,0.5381917709780601,-18.12978020882951,-18.127260961894336,0.0,0.0,4.791850054898503,0.0011781105871378967,4.7803827140309225e-08,0.0008321351654948658,0.00034592761781589474,11998.168900298844,0.0,551.2988952223654,11446.870009392855,-4.316376362112351e-06
16.2,0.201,0.545,0.5411828605164741,-18.074584041130002,-18.07070555597889,0.0,0.0,4.843697392281183,0.001215515365082655,4.848623912673676e-08,0.0008562130689753828,0.0003592538098681494,12375.047789283459,0.0,581.6299424255905,11793.417851222232,-4.364363121567294e-06
16.4,0.2,0.549,0.5460252160313656,-18.01967402859838,-18.014551954981357,0.0,0.0,4.895252798449701,0.0012529201430274133,4.877683396864823e-08,0.0008801553996000422,0.00037271596659340576,12750.360288206848,0.0,612.856594036564,12137.50369860025,-4.429966793395579e-06
16.6,0.199,0.552,0.550701275786553,-17.965157503993815,-17.959147795776772,0.0,0.0,4.946255622545941,0.0012901383634761883,4.901262395910643e-08,0.000903841111110336,0.00038624823974189675,13121.943429568422,0.0,644.946054926627,12476.997379051465,-4.409670509630814e-06
16.8,0.2,0.555,0.5533451927751613,-17.910795478329696,-17.90413269697092,0.0,0.0,4.996979846496789,0.0013273565839249624,4.963934696727198e-08,0.0009273974407131097,0.0003999095038648895,13492.039997437972,0.0,677.9330664453477,12814.10693545938,-4.466755854082294e-06
17.0,0.2,0.558,0.5568505288403067,-17.856700053450815,-17.849308783655033,0.0,0.0,5.04754603368487,0.0013646680831217288,5.013052830145858e-08,0.0009508803780432547,0.0004137375745501768,13861.837778759656,0.0,711.7928267795587,13150.044956517542,-4.537445420282893e-06
17.2,0.2,0.561,0.5602527740965342,-17.803041430259576,-17.79485106289684,0.0,0.0,5.09782821181342,0.001401979582318495,5.058708972294105e-08,0.0009742314215661531,0.00042769757366262266,14230.259225043763,0.0,746.5201032344881,13483.739126409213,-4.599938620231114e-06
17.4,0.2,0.564,0.5635564959105871,-17.749645565636364,-17.740752051016983,0.0,0.0,5.1478279760421755,0.0014392910815152614,5.1040765061075954e-08,0.0009974513120739872,0.00044178872867621624,14597.344425273519,0.0,782.1091476371402,13815.235282287795,-4.651416020351462e-06
17.6,0.2,0.567,0.5667655982518904,-17.696456467400644,-17.686996355055953,0.0,0.0,5.197539929360911,0.0014766025807120284,5.151398409670643e-08,0.001020537543195208,0.0004560135235327263,14963.160805390367,0.0,818.5330682210375,14144.627741817121,-4.647790774470195e-06
17.8,0.2,0.57,0.569884957117672,-17.643477332028418,-17.633593523239483,0.0,0.0,5.246979654704005,0.0015139140799087947,5.1939464661455614e-08,0.0010434973516445414,0.00047036478879959424,15327.686994348664,0.0,855.8290033445877,14471.857995707529,-4.703453669208102e-06
18.0,0.199,0.573,0.5737830913467169,-17.59088354988372,-17.580704912330305,0.0,0.0,5.2960190516353745,0.0015511323003575689,5.215558709692538e-08,0.0010662712475794692,0.00048480889719100545,15689.906209591756,0.0,893.968826681278,14795.93738766653,-4.756051566801034e-06
