time_s,current_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,left_plate_C,right_plate_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,mode1,mode2,mode3,mode4,mode5
206.99999999999454,0.3,53.099999999996555,-1.6124830003865327,1.2700941528278804,2.216474524285047,1.270094152958734,-1.6124830001284636,-5.544856485684875,-5.544856485527475,0.701891352450288,0.7487498912817294,0.7635718717228985,0.7487498912837954,0.7018913524511555,0.15562850208620146,0.05738889017353241,0.02038553365637717,0.0573888901684538,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
207.24999999999454,0.3,53.174999999996544,-1.5916405270107248,1.290241671951037,2.236549418179436,1.2902416720841074,-1.5916405267454934,-5.523600364705715,-5.523600364547576,0.7019443823771657,0.7490502989247673,0.7637672273825372,0.7490502989268413,0.7019443823780518,0.15562850208620146,0.05666097248030067,0.01993731935161518,0.05666097247521018,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
207.49999999999454,0.3,53.24999999999653,-1.5708106116612157,1.3103733621776996,2.256609029854019,1.3103733623154312,-1.5708106113941085,-5.5023525294324145,-5.50235252927348,0.7019973728756419,0.7493510844170801,0.7639605940535587,0.749351084419168,0.7019973728765331,0.15562850208620146,0.05593102288882569,0.01949504579612597,0.055931022883726554,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
207.74999999999454,0.3,53.32499999999652,-1.5499931720808604,1.33048951763908,2.2766535934807735,1.3304895177838034,-1.5499931718110247,-5.481113007130716,-5.481113006971043,0.7020503242223827,0.7496521363239077,0.7641519612317893,0.7496521363260172,0.70205032422328,0.15562850208620146,0.055199368109554246,0.019058759677594683,0.0551993681044403,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
207.99999999999454,0.3,53.39999999999651,-1.5291881234986704,1.350590434059086,2.2966833458862084,1.3505904341996597,-1.5291881232318474,-5.459881824288061,-5.4598818241274785,0.7021032366996507,0.7499533449668694,0.7643413199161357,0.7499533449689689,0.7021032367005402,0.15562850208620146,0.05446633114248644,0.018628502840966222,0.054466331137363225,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
208.24999999999454,0.3,53.4749999999965,-1.5083953787549262,1.3706764084607812,2.316698526370544,1.3706764085930558,-1.5083953784873074,-5.438659006601085,-5.438659006439991,0.7021561105950007,0.7502546024856339,0.7645286625761818,0.7502546024877098,0.7021561105958929,0.15562850208620146,0.05373223107397766,0.01820431237241919,0.053732231068852186,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
208.49999999999454,0.3,53.54999999999649,-1.4876148483860447,1.3907477389238352,2.3366993764688573,1.3907477390573604,-1.4876148481182554,-5.417444578966695,-5.417444578804975,0.7022089462010725,0.7505558028961967,0.7647139831190419,0.7505558028982746,0.7022089462019648,0.15562850208620146,0.052997382880805445,0.017786220686184868,0.05299738287567958,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
208.74999999999454,0.3,53.624999999996476,-1.4668464407710076,1.4108047243199167,2.3566861397628145,1.4108047244554314,-1.4668464405065151,-5.396238565471208,-5.3962385653087495,0.7022617438152244,0.7508568421455818,0.7648972768558246,0.7508568421476629,0.7022617438161082,0.15562850208620146,0.05226209724160103,0.01737425561401539,0.05226209723647592,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
208.99999999999454,0.3,53.699999999996464,-1.4460900622103736,1.430847664066448,2.3766590616633607,1.4308476642032133,-1.4460900619505992,-5.375040989381716,-5.375040989218576,0.7023145037393475,0.7511576181630883,0.7650785404675523,0.7511576181651708,0.7023145037402193,0.15562850208620146,0.05152668035578295,0.016968440497123916,0.05152668035065756,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
209.24999999999454,0.3,53.77499999999645,-1.4253456170615664,1.4508768578600097,2.396618389209152,1.4508768579976845,-1.4253456168025878,-5.353851873138353,-5.353851872974474,0.7023672262795251,0.751458030908029,0.7652577719707035,0.7514580309101111,0.7023672262803952,0.15562850208620146,0.05079143376998269,0.016568794280406158,0.05079143376485946,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
209.49999999999454,0.3,53.84999999999644,-1.404613007829937,1.4708926054420317,2.4165643708489597,1.4708926055723168,-1.4046130075737437,-5.3326712383468475,-5.3326712381823995,0.7024199117458152,0.7517579824141112,0.7654349706823577,0.7517579824161699,0.7024199117466783,0.15562850208620146,0.050056654212117836,0.01617533160876957,0.05005665420700215,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
209.74999999999454,0.3,53.92499999999643,-1.3838921352921716,1.4908952063564698,2.4364972562559046,1.4908952064806158,-1.3838921350405826,-5.311499105772725,-5.311499105607652,0.7024725604519445,0.7520573768304116,0.7656101371851195,0.7520573768324454,0.7024725604527962,0.15562850208620146,0.04932263343308289,0.01578806292538274,0.0493226334279851,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
209.99999999999454,0.3,53.99999999999642,-1.3631828986028722,1.51088495972715,2.4564172961173085,1.5108849598543088,-1.3631828983417904,-5.290335495335228,-5.290335495169586,0.702525172715046,0.7523561204590437,0.7657832732917199,0.752356120461079,0.7025251727159214,0.15562850208620146,0.048589658056155303,0.015406994571669982,0.048589658051073126,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
