time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda_mean,plate_anode_C,plate_cathode_C,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,mass_balance_error_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
8.4,0.0646864686468647,0.606,0.5969578871651374,-24.849623367961243,-24.789446813983545,2.318117788961263e-05,5.5101444947973926e-05,3.0090863977704583,-24.854094907703967,-24.85405615265077,0.00011359689111886784,1.1623665902146528e-06,4.219723124600748e-06,0.0001082148014040549,-2.4530074152484538e-18,951.3969849129978,0.02799284761214757,27.449230997545975,923.9757467547922,8.27174062578706e-09
8.6,0.07062706270627062,0.595,0.5842183826991985,-24.830517238907476,-24.764789413067774,3.591997843032516e-05,8.538145574120552e-05,3.0158259086079693,-24.836049796733988,-24.83600615815004,0.0001262187679098531,1.534600673951765e-06,7.349551957540898e-06,0.00011733461527836333,-2.9002408113987244e-18,1071.7523812967727,0.04837151609760472,29.962217407806477,1041.8385354163363,-1.1272504707449116e-08
8.8,0.07854785478547854,0.586,0.5678917499920328,-24.809083042265087,-24.735201626610746,5.1902245838950134e-05,0.00012337115721167133,3.0245720867442936,-24.81585044075618,-24.815800810044948,0.00014013361744528088,2.175377968779517e-06,1.1411277084049732e-05,0.00012654696239245474,-3.1170812458958252e-18,1206.6156486276454,0.07635172110060541,32.77649411132545,1173.915506267561,-3.014065441675484e-08
9.0,0.08283828382838285,0.576,0.5605065885980439,-24.78560115538272,-24.707296893816988,7.00688105823323e-05,0.0001665529131978424,3.0360148555040634,-24.793679158097405,-24.79362411911569,0.0001551875143984316,2.5919615545509636e-06,1.6725298896086904e-05,0.00013587025394779694,-3.198396408832238e-18,1354.3901997149817,0.11130408623300425,35.94332219008052,1318.5581816664255,-5.529136615223251e-08
9.2,0.08811881188118811,0.567,0.5516126610089456,-24.760557849606982,-24.67738910639244,9.002419609105271e-05,0.000213986679560382,3.049120845049289,-24.770008339207806,-24.76994766420779,0.00017113417824655446,3.0534253589189403e-06,2.2811720440889856e-05,0.00014526903244674915,-3.496552006265752e-18,1512.3171256894552,0.1515587069100161,39.47955244899471,1472.9891320199845,-7.261405698955059e-08
9.4,0.09174917491749175,0.559,0.5467217864585152,-24.734082700046457,-24.647437545277796,0.00011272535034266576,0.0002679471127707767,3.0636328432843323,-24.744924844401766,-24.744858743778934,0.00018791203885896185,3.634982733459035e-06,2.9551092421243675e-05,0.00015472596370426283,-3.686287386450715e-18,1679.7121386364056,0.1986679126229608,43.399278494177054,1636.5115281484802,-9.362861419504043e-08
9.6,0.09702970297029702,0.551,0.5391227477746737,-24.70618374642231,-24.614978252257885,0.0001364620703358585,0.0003243690761489387,3.080201091080631,-24.718464597232582,-24.718392747621067,0.0002055210962356535,4.007055665324549e-06,3.724538669784517e-05,0.00016426865387248734,-3.577867169202165e-18,1856.5627752164057,0.25011850322981616,47.74357493991515,1809.0693188984187,-1.1869838090206031e-07
9.8,0.10198019801980197,0.544,0.5327752638005075,-24.676618257056532,-24.580580735032925,0.00016285861402408965,0.0003871134157929395,3.098022554176944,-24.690384747750755,-24.69030688480629,0.00022408449063800515,4.694981853701764e-06,4.5521674159772684e-05,0.00017386783462453425,-3.550762114890027e-18,2044.3942408193454,0.3085495934106557,52.51629904068993,1992.1864915020255,-1.2995951692573726e-07
10.0,0.10792079207920793,0.537,0.5253653003517934,-24.645266879677138,-24.543811170642442,0.00019052167982256803,0.0004528682667520039,3.118322668000672,-24.66058676817275,-24.660502576173002,0.00024366379219670426,5.152570040089668e-06,5.494904701951208e-05,0.0001835621751371058,-3.279711571768651e-18,2243.9204556655795,0.37233618061932827,57.76642369136371,2186.5263683048493,-1.5001432984718122e-07
10.2,0.11254125412541255,0.53,0.5211137512599004,-24.61220124892796,-24.506421713991728,0.00021991972982122738,0.0005227471590711371,3.1403167484536616,-24.629113957548782,-24.62902354415189,0.0002642282158464071,5.73047160248936e-06,6.516309798188023e-05,0.00019333464626204085,-3.333921680392926e-18,2454.754320784779,0.4419029235339337,63.51066961860682,2391.6855542523354,-1.6262902136077173e-07
10.4,0.11848184818481848,0.525,0.5150766165377895,-24.57742986140724,-24.466061283622196,0.000252465150486057,0.0006001073222868006,3.163710936449946,-24.595992976436378,-24.595895855497588,0.0002857777615871138,6.585093772266396e-06,7.602735888735473e-05,0.00020316530892749572,-3.0357660829594124e-18,2676.901370557688,0.5199448494559565,69.76115326014457,2607.66016232413,-1.7713045963319018e-07
10.6,0.12343234323432342,0.519,0.5116504518193686,-24.540898144457884,-24.425232004544313,0.0002863275473468101,0.0006805979257114573,3.189830885718074,-24.561166049833645,-24.561062388276866,0.000308343214484168,7.0736789352774525e-06,8.815746332747378e-05,0.0002131120722214196,-2.8189256484623115e-18,2910.611931510617,0.6037301588756209,76.57245220643952,2834.643209659973,-1.9691970010171644e-07
10.8,0.1306930693069307,0.512,0.5049364373377959,-24.50235605068204,-24.37974227608683,0.0003232987781599615,0.0007684781986212538,3.217201171569246,-24.524436282922352,-24.524325176033926,0.00033204771479894543,8.059497456409292e-06,0.00010086822407675785,0.00022311999326578096,-2.656295322589486e-18,3157.449863339444,0.6962665428786561,83.94429143033196,3074.201838664201,-2.1221012502792291e-07
11.0,0.13366336633663367,0.51,0.5060878471018051,-24.46220453496042,-24.337483433905447,0.0003616760377638097,0.0008597005889322788,3.2474334239121903,-24.486119505905265,-24.486002051911925,0.0003567065521393825,8.540654084590906e-06,0.0001149080820648208,0.0002332578159899731,-2.358139725155972e-18,3414.879945422854,0.7948085790579074,91.93641719057615,3323.7383370407406,-2.294050318596419e-07
11.2,0.1382838283828383,0.506,0.5049059138213694,-24.420975736585007,-24.29317451582733,0.0004012865959859262,0.0009538545186259239,3.278708042540253,-24.446770692716342,-24.446646791791295,0.0003820734459827285,9.171276210865846e-06,0.00012943201495569322,0.00024347015481617108,-1.6805133673525319e-18,3679.7114715973275,0.8976015479970154,100.55131756879624,3580.057755823734,-2.4720566216274165e-07
11.4,0.14455445544554454,0.502,0.501656863327029,-24.378023532253277,-24.24484056144138,0.00044425746337848444,0.0010559958720667564,3.311124024986528,-24.40580963734223,-24.405678533542584,0.00040845624698242233,1.0232969454240765e-05,0.0001444859972037438,0.0002537372803244394,-1.6805133673525319e-18,3955.824261755767,1.0096634643920448,109.79478946176397,3847.039136014276,-2.558813321229536e-07
11.6,0.14983498349834984,0.499,0.500675499266599,-24.33322688490878,-24.196024447321975,0.00048873861533724,0.0011617271579207036,3.3465208861722266,-24.36312207111999,-24.362983937081253,0.00043591652526915126,1.0842650897030668e-05,0.00016092429953838217,0.00026414957483374027,-1.8431436932253575e-18,4243.762240376897,1.1280225327898148,119.72788299486379,4125.162380179761,-2.6493762561585754e-07
11.8,0.15544554455445544,0.496,0.4995840891239247,-24.286726192652562,-24.145132289814626,0.0005365208037853502,0.0012753049769083675,3.382863211777047,-24.31884852767425,-24.318703118705173,0.00046439271071222805,1.1973839348802634e-05,0.00017780167554926085,0.00027461719581416653,-1.951563910473908e-18,4542.723049958646,1.2557706843258027,130.34200030974645,4413.636820613312,-2.800870788632892e-07
12.0,0.1594059405940594,0.493,0.5013302783255699,-24.238793124763728,-24.09517879580835,0.0005856298211579265,0.0013920366559494331,3.421979864050847,-24.27325003624327,-24.273097929212014,0.0004937616630502767,1.256024243325114e-05,0.00019596744886521346,0.00028523397175181424,-2.168404344971009e-18,4850.873756349089,1.389142635594786,141.69634742713941,4710.566551854089,-2.965452949865721e-07
12.2,0.167986798679868,0.491,0.4974456559827462,-24.18884372555021,-24.03853370714492,0.0006366162522091451,0.0015132309299005112,3.4625049394118026,-24.22587492386222,-24.225714779059643,0.0005243004478713922,1.3563701132090232e-05,0.0002147872938628411,0.0002959494528764627,-1.8973538018496328e-18,5171.67206812752,1.529069181172,153.79608928964535,5019.405048343619,-3.245713742217049e-07
12.4,0.1722772277227723,0.489,0.49945355246485973,-24.136822357348986,-23.983602333176748,0.0006920136759068218,0.0016449100924811548,3.5046539715609226,-24.176581880952682,-24.176414261844513,0.0005560398502409188,1.4932807634978406e-05,0.0002343613043928924,0.00030674573821304953,-1.463672932855431e-18,5505.434889172448,1.6821058616608744,166.65517941147453,5340.461815964179,-3.4154527384089306e-07
12.6,0.17788778877887787,0.487,0.5002457532973625,-24.083334638990944,-23.927325666916374,0.0007487593803773637,0.0017797941059599803,3.5491037691075493,-24.126007027916728,-24.125831863857883,0.0005887028045707612,1.5949379101419388e-05,0.0002550037903735461,0.0003177496350957969,-1.1926223897340549e-18,5848.348306357633,1.844673341245685,180.3351166797687,5669.857863386451,-3.6734036257257685e-07
12.8,0.18382838283828384,0.485,0.5008795538038331,-24.028091352111485,-23.86849235632613,0.0008091469398046703,0.001923334774910079,3.59455536855536,-24.07385379369819,-24.07367062905911,0.0006224432361876392,1.745817666104443e-05,0.00027611151315710936,0.0003288735463694863,-9.215718466126788e-19,6202.391233378509,2.0203365177082735,194.8190269692797,6009.59254330555,-3.7861173041164875e-07
13.0,0.18646864686468648,0.484,0.505440389394062,-23.97206515145214,-23.81269719943697,0.000870890071683283,0.0020700976270104183,3.642243216684346,-24.020657835533797,-24.020467641025448,0.0006569840795034574,1.850021315916882e-05,0.0002982577498282103,0.0003402261165160792,-8.131516293641283e-19,6563.780477456008,2.2061303176034412,210.17028510172824,6355.816323069428,-3.975446816184558e-07
13.2,0.1924092409240924,0.483,0.5064721392864506,-23.915107823803393,-23.752892395245368,0.0009341071465961789,0.002220364028039408,3.6907606759597695,-23.966497407628225,-23.96629947570642,0.0006923253345182161,1.9785326664349028e-05,0.0003207892579157169,0.00035175074993815103,-8.673617379884035e-19,6932.510018077678,2.401213683607602,226.38098614182482,6708.53024603872,-4.1925977711798623e-07
13.4,0.19702970297029704,0.482,0.5089902641904912,-23.856667866021947,-23.692295770670853,0.0010015447566977152,0.002380662602086321,3.7404849281929335,-23.91097647752025,-23.91077077339247,0.0007286517116239789,2.1399206687674377e-05,0.0003438812006527983,0.00036337130428350733,-1.1384122811097797e-18,7310.895586196699,2.6100638524773747,243.45021910762944,7070.055431378491,-4.3694399209925905e-07
13.6,0.20264026402640264,0.482,0.5107357168505388,-23.796893085124363,-23.63005621565904,0.0010705268933235165,0.0025446325013632433,3.7922834339698617,-23.85421378609226,-23.85400001339744,0.0007659324257554012,2.282642393201305e-05,0.0003679364267356038,0.00037516957508778573,-1.4094628242311558e-18,7698.2971926740875,2.8310222104515113,261.44214374569316,7439.686071589685,-4.5083834265824407e-07
13.8,0.20396039603960395,0.487,0.5164046594701196,-23.73631643148942,-23.571358326666626,0.0011429266020461272,0.0027167259378324867,3.844673077575009,-23.79672712210572,-23.796506290674216,0.000803859626259045,2.449093510574766e-05,0.0003922661772258341,0.00038710251392746434,-1.0842021724855044e-18,8090.981941970048,3.066516265761747,280.3284037963537,7813.720054903193,-4.637377060134895e-07
14.0,0.20528052805280528,0.493,0.5218634532272344,-23.675764553625974,-23.513823246179953,0.0012158315701246893,0.002890020371106939,3.898265820827301,-23.739339273814835,-23.739111947992825,0.0008420331072854395,2.567281656705281e-05,0.0004171546471921988,0.00039920564352618955,-1.6805133673525319e-18,8483.876888514538,3.31070448807251,300.15656309164194,8187.031030395268,-4.842995622311719e-07
14.2,0.20396039603960395,0.498,0.5291988770767362,-23.61572340777317,-23.459494951380975,0.001289049683985945,0.00306405914900391,3.9516212494100094,-23.682460186866194,-23.682227454719424,0.000880206588311834,2.681933795840722e-05,0.0004419329082260084,0.0004114543421274191,-8.131516293641283e-19,8874.174866055055,3.5616155450082685,320.8989679998404,8556.837514113644,-5.134224920766428e-07
